author_id;publication_id
55;121820,119244,118185,110870
56;183788,182393,181740,181711,181550,181503,176320,174197,174183,174181,172836,168185,166792,166786,165217,165173,164880,162989,157000,155209,155192,155152,153872,174412,145307,140059,140057,140052,140038,140025,139943,139397,130019,174387,163477,163476,159076,159054,159034,158600,131012,157620,123066,123064,119137,118224,118221,118215,117918,117912,117489,109520,109489,109385,109357,109356,102253,100941,100934,100956,99768,92732,92730,92592
57;181169,176338,174245,134585,122269,117479,112815,111946,111072,110780,105985
58;186819,185512,181223,174547,166923,165011,163249,153317,153316,153315,159075,147357,146223,146221,145608,143978,143859,140438,139325,139323,137027,137025,136328,135613,128905,128226,127861,127238,127231,135338,135179,135178,127922,122241,114980,111960,110754,110703,110698,107461,107460,93911
59;186358,184763,183019,182151,181696,179199,175227,173722,172795,172206,170979,170971,170968,170967,170911,169794,169793,169555,169172,169142,165302,155281,157415,157405,154898,154251,154191,153974,153969,152221,152220,146251,145624,145596,145595,145592,145591,145587,145391,145386,168563,141409,140750,140217,140212,137502,137454,137450,137380,137378,137377,137368,137256,136322,136321,136320,135361,135323,135295,133704,130631,129372,128470,127902,127770,127766,127318,127314,127313,127312,127311,127046,126991,126984,126960,124500,127794,125837,124653,122087,122076,122073,119809,119808,119803,119545,118904,118901,117873,117599,115906,115903,115902,114226,134170,134169,127871,112851,112849,112847,110750,110432,110214,110045,110031,110027,110025,110024,109299,109170,109169,109168,109166,109160,109149,109130,107885,110913,109090,106973,106840,103300,107338,100241,96292
60;186815,183565,180428,176379,173126,172776,172717,169577,165137,155762,155756,154212,154210,154209,154206,153616,153611,153537,152229,150877,146248,146247,145621,145620,145409,145394,138106,138085,134250,132802,132799,132798,129028,127133,127790,122486,122270,121839,121746,116528,116526,114198,113413,112341,111942,111941,138084,138083,98853,98850
61;186310,157004,153013,149967,145926,137473,136180,133011,129847,128664,127044,127041,142057,121920,116673,116546,113690,142056,114035,113686,110415,102822,102679,102632,97791,93296,91608,91425
62;169444,156825,139431,139424,139423,129844,129448,123574,119437,119436,119211
63;156845,147764,147147,140260,138536,138532,131261,131246,130586,130548,125153,123505,122992,120344,118109,118099,118093,118089,112045,106866
64;184807,180081,122500,121869,120659,112276,104049,104047,102066,92022
65;119280,119275,119189,117318,108876
