author_id;publication_id
1;166774,136300,105533
2;183808,183238,180395,179416,180284,176071,174756,173153,173070,172272,172244,168798,169754,169632,167212,148408,148407,139287,122319,111732
3;178611
4;171087,162392,141732
5;177380,177011,176792,176791,176504,173149,171971,166576,163087,171489,162372,162340,162336,160366,148519,146876,140436,140634,122097,115055,110893,110010
6;168825,150062
7;185662,160262,149879,141879,128919,110326
8;184694,176679,175406,168767,168734,142040,125660
9;180782,133839
10;178938,174755,174752,167267,156021,156003,155669,146177,143940,143938,143934,123634,118158,118138,115037,115035,109019,109010,97430
11;162396
12;151520,151502,151500,151496,122198,119171,151497
13;172146,157082,157078,154911,154903,154900,154874,151373,150683,142413,142354,139162,130661,128889,128879,122098,119576,119574,118293,118114,113933,113911,112827,112136,102647,102646,93314
14;160632,154124,113266,107097,107096,106657,106301,100325,95342
15;184535,184629,164577,157502,151644,151463,140584,130833,122536,122533,109486
16;184892,184632,182798,182242,174809,174659,174640,169892,166972,165404,163311,160373,171256,167004,166975,166335,164669,161635,157500,155224,152110,152097,171254,158146,151422,149209,149208,147830,143798
17;112704
18;186316,184755,182007,181263,180886,180423,177691,177673,177573,177568,177548,172340,172255,170083,168303,164802,177739,161975,161953,161414,160741,160494,160487,160309,156287,155697,149196,147952,139644,134796,112706
19;170202,164641,164580,160345,157500,152443,150589,149196,147830,130897,130891,130571,124758
20;171897,163246,160261,153535,152630,145094,139535,150772
21;186972,185046,184936,176493,176415,176411,176407,172269,172057,173072,170316,170016,170000,169988,169985,169984,169983,169657,169656,169654,167772,161444,160877,160874,160873,160851,160850,160844,151736,150011,149637,149576,149574,149569,149512,149510,149506,149036,148529,146866,146858,146857,146513,146512,146511,146510,144054,140061,138894,138765,136284,132317,130806,129296,128250,126024,122671,118448,113799,108668,107862,107830,107829
22;162239,154226
23;184019,181700,181699,179431,178088,175234,170970,170916,157408,157407,155146,153976,153619,149102,148062,145625,145593,145417,144653,113006,112121
24;169789,103697
25;170389,163280,153176,153141,151402,142393,116899
26;172223
27;170393,164140,163280,154280,154279,153335,153176,152420,114820
28;132427,131884,118337,118246,115352,111264,178079
29;110405
30;115740,101013,92886
31;164171,116251
32;164171,144269,103474
34;173177,172145,154003,152046,151999,151375,152051,152038,152008,150168,152040,152039,128062,110604,110298,110140
36;184289,180025,175291,174592,169544,167130,166124,157314,156984,152645,148219,148203,146517,139657,132915,132446,128108,119411,119408,119368
37;185625,185522,184027,181826,176690,168855,168860,165074,160683,155693,154321,154119,150587,149133,149049,149048,148907,141214,143233,136545,124110,117922,117921,117096,115404,113655,108420,108413,101774,101771,102126,101753
38;177030,176818,176815,176522,176504,176345,176264,174560,171410,168997,168747,168744,167811,165377,171370,162363,162298,161002,160366,149030,148520,147230,146956,129931,129719,123251,122339,122209,114813,110914,110891,110345,134486
39;185909,185021,175295,174208,170819,169545,167082,167081,167051,166143,166076,164821,152727,177596,148261,148228,139798,139691,138172,136055,141285,132809,128105,128104,124471,119338,118592,115199,113554,112804,112520,112484,98752
40;177380,176768,171266,163117,156860,148408,143319,134262,117579,117561,115399,115397,114371,111290,109116,108344,106818
41;182471,147744,145667,123518,108694,105425
42;186026,184609,184603,172941,172155,165027,162630,162628,153352,147869,147825,143802,143640,143631,142528,142036,137077,135899,118993,118511,116996,115619,122926,107530,105633,105627,103818,97952,94304,106668
43;185168,175243,174433,166110,153116,150959,145213,144851,143519,143513,142036,129292,142039,117121,116312,112049,91470
44;183515,186808,172628,172610,154574,149926,144625,135587,134741,126568,123519,120834,113724,112911,122766,98386,98381
45;183131,180962,175566,175554,169205,168116,156851,156838,149382,141438,138395,138394,128724,117864,117749,108559
46;180938,180412,180361,175878,182217,180942,171163,169602,168249,166115,163929,162799,157305,157095,156897,155783,150860,150858,148131,146110,142155,139743,138403,134728,131252,128218,110518,109372,91484
47;184846,179481,179485,175878,175739,175473,178949,178948,178892,178890,170814,168788,168628,168627,168252,168241,168236,179478,179423,178979,178911,157305,147745,178887,178886,178884,148131,178883,178879,135905,131252,131249,131153,122295,108126,108124,109514,97992
48;185140,183497,182265,179664,182267,182266,178316,176572,176564,174577,173263,173028,173018,167377,157034,156105,156056,156042,153106,151817,148666,148597,148592,147411,147379,142141,142140,138458,138408,138355,130140,127158,119910,103914,103494
49;185950,185916,185769,185093,183685,180528,179570,179384,175520,171783,171322,169412,169399,168634,168539,168351,165223,164541,164382,163306,160486,160484,157331,153654,153653,153652,149023,149022,149021,148992,148442,142897,141327,140399,137049,136539,133291,129132,128922,127040,120427,120014,119647,119528,119497,118963,117520,115158,113462,112676,112665,112040,108043,107432,107100,107086,106626,106381,106374,105555,105259,104428,117245,93740,93733,93720,92564,132693,117061
50;187209,181076,180102,175520,171231,170401,165223,185792,160587,156313,152070,147738,146302,134610,131499,127469,116701,112320,107659,104235,106457,94408,107703,107767
51;185500,173744,169085,171169,171168,171167,149475,149474,128407,119208,109713,109654
52;184837,184836,183891,183864,183091,180016,177852,174159,173634,173633,173630,172390,172260,172109,171241,171240,165954,165906,165904,165903,165884,165416,165415,184468,157028,156228,155733,154059,154055,154054,154053,154021,153869,153866,153830,151300,151299,151294,148377,148179,148163,148027,147403,145838,145657,145310,145293,145285,142175,141947,141789,141766,141764,141738,140479,139992,137748,137495,137321,137314,137230,131272,130160,129953,129950,129943,126257,125973,125947,125792,122409,122391,116438,116435,115299,114970,114864,113067,108603,107306,107302,107301,107300,107128,107119,107117,103822,103797,103747,103676,103649,103630,100932,101085,101024,100972,99835,99831,99760
53;182793,148146,162806,147997,143106,134445,131499,106716,105708
54;180531,172719,160764,157275,156981,156979,156342,156333,156213,156106,156103,153348,153323,153232,152310,151017,148464,147348,146460,146458,146457,144741,144738,142255,138700,138238,138234,135658,129295,129125,129123,129115,128983,126869,126840,126805,126802,125061,122296,118501,118493,118486,118129,118123,117988,117983,111403,110030,110028,107110,101826,101825,100853,100852,96023,115070
55;128493,128061,122902,122898,118189,93041
56;182819,185963,185142,183882,181738,181533,181517,181502,175302,174295,174255,174194,174192,174164,174162,172843,172813,172698,173824,169948,169862,169861,167891,165321,165308,164878,164877,164875,161065,156996,155169,155149,153864,153835,153639,175983,174391,161338,158353,158352,158113,148468,147136,146930,145495,145313,140014,139923,139858,139795,163478,158602,123063,118228,118226,117957,117953,117952,117945,117931,109351,92712,92703
57;176459,174436,171835,169757,164990,164988,156972,156970,156967,146872,145602,145387,140435,135322,129853,129852,134623,103581
58;184886,184372,181231,181225,180036,179182,174524,174237,174236,173141,171522,169778,168611,168610,156883,156878,154240,152212,148864,145606,145605,145603,145329,142669,142125,142121,139333,136423,136327,129846,128900,128796,128225,128110,128078,127716,127714,118467,114880,110753,110700,107463,107459
59;186613,184689,183584,183574,183368,182177,182175,182153,181697,181669,181052,180988,179432,178819,178727,178088,177392,177391,176380,176364,175235,175234,175230,174865,172166,170975,170974,170969,170914,170912,170909,170537,170536,170223,170178,169620,169559,169558,169173,167044,166390,166389,166388,166387,165419,165301,164783,164238,163316,154901,157036,155275,155072,154588,153976,153617,153615,153536,152223,152218,151653,150020,147712,146269,145627,145589,145586,145412,145408,145407,145396,145393,145392,145097,142124,141435,141434,141404,141310,140617,138199,138197,137570,137569,137453,137366,137082,135369,134894,133936,132716,129870,129390,129389,129388,126993,126990,126978,122074,118898,115904,115899,134171,112995,112860,112850,111302,110990,110212,110038,110029,109190,109165,109164,109163,109162,109148,108031,106975,103303,103299
60;186798,184884,182961,182587,182582,181202,181182,173125,172716,172715,171832,171831,170515,165001,164999,164996,164994,164206,164105,162985,161330,157037,155760,154207,153975,153972,152631,152231,152230,148032,146249,146246,145411,145395,149986,149985,140596,132800,132777,132751,129027,122485,122482,122396,122273,121837,114201,127880,105983,103684,98156
61;175925,175292,173360,170254,157003,154865,154863,152251,145289,144789,144688,143844,137471,135330,132101,127045,119817,117966,113932,103575,102634,102633,97860,93297,92146,91431,93291
62;181494,156824,128946,128781,119438,119435
63;173200,156856,156852,148863,148078,139966,139862,139784,138812,131063,130587,123504,120346,100686,100937
64;175584,175583,168172,171542,171541,171540,156803,156661,149454,138396,112271
65;155882,155879,119293,119271
66;186970,139555,138485,138482,138112,138104,128027,121873,119441,118119,108249
67;186762,183213,172268,169996,135953,135950,135947,126348,113630,108291
68;184112,183231,181684,180020,175946,175927,175926,174121,173089,168324,166878,165146,157014,156181,155846,152797,149350,148934,148884,146483,142766,130524,120494,119375,119370,116250,116248,143165,143164,142782,104510,143170,142781,142780,142777,105030,104513,104489,104461
69;177284,173357,173269,172864,148617,129437,119704,115910,115857,110690,110688,109312,103797,103794,99835,99831,99762
70;154192,148301,146755,145486,126345,102431,102305,102304,102297,100823
71;183436,180560,180559,171960,170516,171602,171339,166090,160717,150715,149669,149065,148881,147602,131385,116686,116523,135344,100641,100586,100704,100705
72;181583,181247,157220,151825,141440,117864,117461,110389
73;176111,176095,174457,143342,134844,120575
74;185140,184892,182804,182798,179664,177952,174809,174659,174656,174640,174577,174408,173237,172177,170183,169892,167377,166972,166561,166490,166332,165404,163311,160373,171256,167005,167004,167001,166975,166335,164669,161635,157500,157159,157034,156347,156112,155224,152110,152097,171254,158146,151422,149209,149208,148668,147830,147362,147355,143798,138608,171260,171249,130775,130194,127965,112715,142825
75;184826,174324,174321,173614,172858,172707,168197,166717,160559,160557,162016,160619,157167,157166,152758,151288,151287,148231,149311,147526,145731,145308,141454,140199,138628,136770,136769,136754,136750,128184,136765,131350,131147,131146,131145,131144,131142,131141,127176,127174,126485,126484,126102,123918,165785,165784,123342,123340,120681,120052,120023,119834,119121,119119,118218,127616,107019,101599,101527
76;186814,184882,182961,182579,181202,181200,179433,176840,173123,170954,164954,157037,154211,152631,145622,136892,132830,128316,128265,127786,127781,122394,122238,121840,134158,134156,111945,111070,98849,98156
77;185168,184850,182324,181504,180880,176717,176584,173113,171976,171822,168623,166110,164492,164162,156031,177637,149851,144474,131288
78;181201,155097,176009,170555,169619,166646,166619,166618,165006,163248,162639,162638,157403,154257,153971,153618,152219,145618,145584,145415,138499,138426,136109,134117,135185,129664,127148,118478,116085,109490,107947,109088,106933,103276,99121,98509,114456,111114,111113,115131,113925,113865,113855
79;184013,180092,178952,176616,176615,168382,166899,166895,166322,163890,154699,154391,148697,146572,144324,135767,128602,127573,111964,106442,106312,103874
80;168593,168248,168245,168242,168230,168229,168226,167588,167131,163308,154527,154526,154524,154523,153229,153228,153204,153203,152918,151803,151802,151801,151800,151782,151358,149735,148737,148736,148732,146780,145062,144840,143051,143003,142932,141433,140309,140308,128185,126463,160614,143054,132960,127425,127418,125766,123397,122055,122052,115737,135155,111598,110589,105230,104692,104930
81;160373,171256,160631,149208,147512,144665,138829,135358,130683,130680,131876,130279,120852,120800,113180,104662,104656
82;155870,162444,162440,147751,147173,142464,125470,122316,121771,121759,121755,121007,119143,118965,118740,118739,110624,110012,103815,100580,99799
83;180847,180827,180826,176468,171889,169137,167936,167697,164536,156851,156838,156835,156822,154205,153603,148422,149892,149880,148420,148419,148170,140093,138394,138387,136114,128718,128160,126324,121779,121777,121760,119203,116068,112924,108660
84;164661,164560,160629,160627,148554,139960,139959,129451,129061,128594,128498,128001,126850,126844,122336,122225,117950
