author_id;publication_id
2;116922
13;112820
16;164579,156096
19;164579
20;142511
34;142414
36;184287
37;101064,108349,179662
39;142458
41;105302
42;106558,106197
43;105231
46;170091
48;119915
49;116912
50;116912
53;171618
59;152222,111301
68;126213
71;156978,153453,100726
73;146188
74;164579,156096
75;166713
76;164993
77;172342
78;114847,111131,111130
80;140347
85;108371
92;183690,176098,129724
98;127475
99;129779
100;100716,141707,141635
104;156978,153453,100764,100726
108;100724
113;142264,133102
130;108371
134;113884
139;101064,108349,179662
146;129724
147;129724
148;129724
149;129724
154;109468
160;110513
163;144600
169;141237
172;112044
174;186215,171738
176;106033
191;136102
206;144463
207;134349
211;172113
229;136643,94102
234;117192,114142
235;168933
237;114242,114240
239;114306
242;114316
245;131508
246;107786,107784
248;117192
249;166022
255;112820
257;123031
260;184605
262;184605
264;167306
265;164579
268;185038
273;164579
274;164579
286;181729
291;172113
298;166713
302;178970
307;163720,148981
311;150924
312;150912
313;130628
314;150983,150979
316;151109,151118,150928
319;139463
327;169132
337;120090
342;147711
344;140857
359;172959
362;112294
372;99574
379;107682
380;172342,107604
401;114843
402;111301
435;116912
437;134670,116912
438;132689
442;178895
446;116912
462;98988
468;100700
469;178383
472;108371
473;108371
475;141993
478;147365
482;179979,179959,160719,130430,99744
483;134349,104366
488;154801
490;107739
492;185038,177025,114211
495;139463
497;108320
498;111019,109577,128549
501;173629
502;114038
504;184581
508;114435
513;116912
514;146936
519;155725
521;167196
532;185038,177025
533;181540,174564
539;131253
544;169132
557;179660
565;114211
569;166819
573;101667
591;169132
594;157227,127911
595;127911
600;129779,140670
602;184959
603;117097
619;100700
634;141073
638;129589
639;131381
643;152656
650;142150
651;106031,106019,106010
653;174059,131961
654;126168
662;130794,108320,108228
667;163350,156303
668;107821
672;167306
674;123283
676;181156
680;151095
683;154332
684;149501
685;182507
687;156807
688;116057
689;108038
695;128177,109006,109004,109000,109007
697;143889
700;108090
708;140638
713;113890,113808,113802
714;111147,111124
719;148967
723;116912
724;112427
727;179659
728;106941
736;172113,115509
737;172113
743;144463
746;181540
747;179959,99744
759;100700,100699
767;100724
776;163395,109468
784;113796
812;97585
814;116855
830;126213
832;127707
849;133316
882;114116
883;129724
885;176098
916;173629,111622
918;121672
923;152222
932;165156
936;149501
950;181729
974;175617
1001;184287
1006;168425
1011;117305
1016;164579
1038;167196
1041;164579
1052;140953
1086;184059
1090;174564
1100;185038,177025
1104;161409
1118;169132
1121;170938
1123;115861
1134;108090
1137;166713,152316
1152;157227
1153;157227,127911
1159;171956,171955
1161;115509
1168;112056
1174;140677
1193;157227
1194;154908
1198;149145
1202;109006,109007
1203;182507
1207;161332
1228;109273,108753,107739
1232;126168
1249;100713,100712
1250;117192,117202,114142
1254;171707
1258;170177
1261;140505
1268;121530
1270;164579
1273;148840
1284;126213
1291;170177
1297;172031
1306;116057
1310;107871
1314;102568
1330;142345
1351;110471
1355;185247
1356;126586
1360;167262
1364;174564
1371;162712
1376;185276
1381;178893
1388;118513
1395;145520,112820
1406;122224
1408;168425
1416;170705
1423;114936,114863,114358
1427;172113
1438;117219
1439;164579
1454;146936
1456;178383
1458;181018,107795
1490;130430
1496;174673
1500;164579
1506;100713
1532;144898
1537;146064
1543;144898
1545;176447
1555;147726,144898
1558;177534
1572;127320
1575;140679
1581;123283
1593;161016
1598;100719,100697
1608;179959
1610;117097
1628;156978,153453,100764
1641;164579
1646;161409
1647;185040,130593,115021
1650;169097
1657;100707
1658;108371
1665;181540
1672;177534
1673;176988
1675;178364,147931
1680;119915
1689;169132
1701;163395,109468
1706;106941,108371
1718;121048
1730;120120
1739;101667
1749;122772
1779;178549,119092
1780;144898
1781;144898
1816;166022
1825;154259
1854;177534
1897;184287
1902;182907
1911;170091
1928;166819
1943;185038,177025
1955;157075
1959;166022
1991;105302
2002;169097
2008;178493
2013;178549
2016;164579
2025;177995
2027;144898
2041;152222
2046;178383
2089;184024
2105;184581
2106;176098
2111;181395
2148;108037
2163;178383
2223;176098
2236;161332
2240;167955
2286;178383
2324;157075
2360;181729
2363;181156
2419;185038
2516;166955
2520;125593,117049
2577;148840
2582;110081
2620;176098
2654;153692
2664;113385
2713;163965
2723;107410
