author_id;publication_id
75;184759,166713,160671,155825,152757,145122,138627,137614,136774,136771,136744,142775,131351,131155,130373,165786,123510,123343,120833,120045,120039,119873,119867,119260,119256,119251,116247,116218,116196,108518,101618,101604,101535,96941
76;183565,182581,173127,164995,164993,132832,129029,122475,122401,122272,121844,113411,113410,111947,111943,111071,138084,138083,105986,105984,105981,103580,98852,98850,93889,109421
77;176261,175622,172342,152691,144811,140639,121628,117284,117117,116744
78;184881,183018,176381,138495,127769,127149,127772,125967,125932,117601,117600,134145,127873,108096,107945,107944,124711,109087,106931,98405,98402,116597,111089,114459,114847,113864,113856,111131,111130
79;172149,166898,133746,131734,127423,119745,117853,115770,111902,111082,110278,110277,106315,98656
80;187228,181954,154521,152919,152225,151799,151795,151794,151785,151377,151316,148735,148730,143801,140347,140311,140179,135388,135385,129161,134183,133215,133176,133173,133172,132972,132954,129533,123375,119132,118936,118933,116165,115709,143056,119145,143058,121679,120084,104961,104833,104705,104645,104640,103668,103647,103619,103611,103570,104905,104713,120089,120087
81;147584,131985,130679,130278,120812,120807,119767,113075,124335,124330,104671,100761
82;154116,144641,144184,143994,122219,121341,121003,120774,118959,115758,115597,114143,112958,109362,109361,108537,107102,107101,106557,103816,102392,100781,100579,99842,99798,99997,99996,99995,99994,99993,95943
83;172266,171892,160687,156836,153678,149523,148175,141431,139468,138946,128338,128174,126347,121785,119156,118704,117866,117862,117484,116067,116065,112895,112930,111988,109731,108679,108665,108286,101545
84;160628,160504,160384,160383,148553,133695,129454,129059,128501,128490,128000,125627,125625,122743,122739,117955,117949,117935,110863
85;184025,148576,141197,140424,127537,121606,117924,112264,113804,113163,112510,110233,108398,101773,101772,98031,108371
86;155294,153546,116008,133469,134424,101518,134414
87;175984,169860,164581,155334,149846,149367,148110,146100,144597,142433,131481,123386,120921,120601,120469,120454,115867,135023,106992
88;150079
89;185505,181573,181571,176435,170320,167245,155686,155637,153687,150365,147573,144927,144094,143995,139371,137721,135195,132123,131034,129280,125466,143979,121351,121349,121342,120992,120971,120969,120958,120937,120928,119144,117389,116880,115590,115589,113271,107066,112262,111296,111295,111293,107557,107039,107035,106557,102353,102352,102344,102343,102260,102172,102171,100578,101095,99523,98961,96331,95816,95393,95304
90;176227,137322,130169,122440,122437,122388,113065,107416,107372,103744,101019,100944
91;164520,164435,162593,133445,125658,123740,121616,119685,113750,113879,113353
92;184241,183690,183610,182878,182635,182220,181848,181846,179429,176098,176096,175293,174847,174835,174460,166724,166547,166394,166372,166292,152610,149032,154481,154474,148513,147170,146200,145775,137864,137122,129927,129724,128544,127637,123416,120964,120952,120904,120837,120829,120617,120594,120567,120464,120339,120080,118850,118569,118567,118552,117745,117735,115735,115728,109954,109943,109904,109900,109783,109287,108778,108777,108739,108626,108616,108615,108612,108600,108598,106900,105496,105490,103457,103450,102696
93;163157,140769,134264,120597,120491
94;175342,171719,155395,152807,121192,121174,111321,111066
95;166163,155395,140334,130111,130090,115951,111064,111048
96;183409,149772,148015,141958,138012,137803,123165,130101,130093,130088,125569,121287,121259,121250,121198,119051,111053
97;184932,171719,166163,155395,140334,130111,130090,115951,111064,111060
98;184932,155395,140334,127478,127475,130113,115951,103603
99;143917,138681,134281,129920,129779,140685
100;180892,180538,151611,134507,135596,134799,134801,135722,134693,100716,141707,141635
101;185134,181164,171719,153269,144234,142055,141105,136549,125814,122845,120327,120243,109700
102;179092,165392,165391,165388,165387,147260,147259,147214,140094,138823,138336,135226,135224,135217,132225,131609,130771,130769,122114,122034,122022,122021,121877,121848,121805,120560,120535,120522,120107,117840,115853
103;120671,120664
104;177370,176491,171595,170665,160754,156978,153453,147628,141817,135263,134240,120664,120283,134241,134238,119145,101397,134242,100646,100764,100726
105;176010,175552,148329,115939,112540,109736,100664,100663,100748
106;165892,165891,125592,121765,113171,112325
107;186283,185006,139525,126091,125592,120528,113176,113154,113127,100672,100755,100734
108;181522,176843,176596,171619,145037,132771,124629,122366,100740,100724
109;180320,171719,165934,165892,156893,165891,165919,125592,124465,113158,100656,100635,100757,100756
110;169357,163286,134786,131383,131382,127442,131807,116910,116901,115850,108555
111;171719,157402,152372,149038,145065,142683,142677,142672,137390,135081,135079,137904,126899,123778,135536,99023
112;185141,185134,182181,181221,181164,180892,157352,156151,144234,138448,138190,136488,129325,126266,125814,120476,115191,135529,135524,135519,135424,134907
113;168811,142264,136667,142366,133102,133096,133094,133082,130995,128085,142472,142470,114716,107397,134638
114;114058,134562
117;176408,164474,144272,130679,124715,123365,119362,115851,113071,105324,104128,98782,100718
118;146736,100649
119;171719,166100,165110,154712,147115,142348,112996,104508
120;98706
121;137723,134410,128057,93764
122;171473,148075,137640
123;168835,103921,95630
125;186576,185111,182696,166588,137034,125560,120693,116107,114521,114282,113762,113760,113486,134677,102883
126;184361,177569,177492,151081,148942,148941,150385,140493,138178,135865,132260,123550,123365,121198,120854,119767,119504,116803,113044,112732,112552,111275,104654
127;180334,162030,113044,112552,111275,124330,104508
128;177868,127537,117911,113883,102407,114866,108122
129;112999,112997
130;181912,176642,160682,160677,141193,113163,101773,108371
131;183581,182249,168511,160472,160478,157201,157198,131243
132;176445,169541,157198,123190,120210,114646,112488,107454,106829
134;177868,147927,108162,113880,113884
135;106845
136;176079,169828,152354,171606,149050,140928,139635,122722,122141,121522,117765,112488,111322,110686,98031
137;140424
138;162342,148576,133217,127527,124858,143645,113628
139;182281,182208,182129,176539,160670,153417,153415,149132,148576,141197,141192,171729,133217,129665,117094,117093,117092,113804,113641,113163,112919,112915,112510,101773,101772,101758,101064,108349,179662
140;176539,148576,141192,171729,133217,129665,117094,117093,112915,101758
141;123335
142;162312,153396,148903,140822,130701,130692,130390,129358,127498,127477,123707,123333,122931,122650,122649,113480,113035,109018
143;162316,160503,134860,122875,117583,115395,108446
144;169724,169454,168977,155774,153803,146077,143370,133917,132172,131989,117592,112334,109119,108502,108342
145;171829,171828,167908,142761,139598,122364,121415,120180,112342,111950
146;163391,149032,146877,146875,143635,129724,122354,122352,120829,120594,114814,106900,105776,102696
