author_id;publication_id
1;105533
2;180395,173070,172273,172244,169754,148408,111732
3;178611
4;182617,176976,176123,162392,141732,122066
5;168538,166576,163086,171487,162372,162340,162336,160366,148846,148519,146876,140436,129143,122097,110010
6;150062
7;168857,160262,141880,141879,110326
8;184694,171965,168767,146650,142040,138501,136154,125660
9;184257,133839
10;174755,167444,156021,156003,155669,146177,143940,143938,143934,144333,136307,126777,126766,123895,118158,118138,115448,115036,109244,109010,109005,97430
12;154868,151520,151502,151499,151494,151498,151495,151500,119171,102650
13;163008,157084,157078,157027,154911,154900,142354,140236,140235,138375,128889,128879,128660,128659,125581,122098,120420,119578,118114,113933,112678,102647,102646,93314,92351
14;160632,154124,107097,107096,106657,106301,103079,100325,101094,98827,96216,95394,95389,95342
15;164578,164577,157502,151644,151463,141634,141619,140614,140584,140522,140232,131110,130833,127613,124799,122548,119337,101275
16;184883,182797,174214,166972,166345,165404,171256,167004,166975,166335,164669,157500,154956,152110,152097,158146,143798,171289,130191
17;112704
18;184868,181263,177697,177573,172340,172255,172218,170089,177739,161975,161953,161414,160741,160494,160487,160309,150723,149196,147954,147952,139644,130893,130892,126073,122686,113624
19;164580,157500,152443,150771,150589,149196,145967,144799,130893,130891,130575
20;171897,153535,152630,145094,139535,139531,135609,150772
21;186972,180486,176415,176163,172269,170000,169992,169988,169987,169985,169984,167769,161444,160874,160873,160851,160850,160845,160844,151736,150011,149637,149574,149569,149510,149506,148529,146862,146858,146513,146512,146510,144054,141485,140069,140065,140061,140024,138894,138768,138763,135958,135955,132316,130806,129298,129297,129294,129293,128417,128314,128313,128311,128250,127500,126020,125914,123492,118443,113874,108668
22;162239,154226
23;184019,183366,160550,157408,157407,155146,154191,153976,149102,148062,145625,145593,120947,120941,112121,112100
24;169789,103697,100539
25;171235,163280,160793,153338,153334,153141,151402,142393,136753,119281,116899,99537
26;177990
27;171235,163280,154280,153335,153334,152420
28;135186,132081,131884,123349,118337,117396,115352,111264
29;151413,140206
30;92886
31;137416,132179
32;161087,126244,120563
33;121029
34;172145,163913,154537,151999,152051,152050,152038,152008,152041,152039,128062,126320,124770,117639,110298
36;183393,157314,156984,152645,148219,148203,146517,142457,140413,140412,139831,139693,135856,135161,132778,128108,119408,118593,112803
37;185620,176690,175873,175870,168111,160683,155693,154321,154119,150587,149049,149048,148907,146569,143309,143308,141214,143233,140969,136545,126137,124147,124146,117921,115403,108415,101771,102126,101753,99622
38;184083,177030,177028,176815,176522,176343,174571,174560,168745,168538,171370,162363,162298,161002,160366,149030,148520,147230,146956,140861,140728,140362,140036,139145,129931,129719,129143,128650,128534,126040,125994,123251,122344,122338,122209,120714,110914,109445,134486
39;185909,179531,167080,167061,167029,166160,152727,177596,148261,148228,141538,141537,140414,139845,139798,135849,135833,128103,124471,119339,118592,112457,112451
40;171266,163117,162646,156860,148408,143319,143677,143358,140051,129143,127129,125219,117579,109094,108344,106810
41;182471,147744,145667,126603,115979,108694,105425,105364,105428
42;174119,172155,162628,152586,147748,153352,147869,147825,147575,147316,144228,142528,141535,139712,137229,135725,135568,128051,125695,118993,118511,116999,110853,107530,105916,103818,135842,106635,95927,94307,106668,106559
43;183630,145213,144851,143519,143513,129292,117121,96212,91470
44;186808,174613,172628,154574,150571,149926,136644,123519,112911,122766
45;175554,169993,168116,156851,156838,158805,148177,108559
46;186574,175878,171162,169602,162799,157095,156897,171952,150860,150858,148131,140827,140642,139742,138403,135773,134728,135497,131252,131245,128218,108338,91576,91491,91484
47;184579,184569,179481,175878,170815,168627,168236,163679,179478,179423,178979,178911,178909,157087,147745,178887,148131,135905,135495,131637,131610,131252,131245,122295,108553,108126,108124,97992
48;185140,183497,182265,173028,163175,157034,156056,151817,148666,148597,148592,148590,147411,147379,142141,142140,139560,141718,138458,138408,138355,138354,137212,130635,127158,125839,124226,119912
49;185951,185916,175520,169399,168354,164382,163306,160484,157331,155282,153654,153653,153652,153545,149863,149022,149021,148992,148441,143107,142897,142673,141327,140873,140589,140399,137050,137048,136539,136105,134584,134501,132503,131786,129132,128997,127559,127040,126768,125888,119497,118963,117520,115158,113973,113462,112676,112099,107431,107100,107060,106381,106374,106089,132693,116929
